602;трал р/гл 102/480 м пр. ЗАО ФОЛ
574;"трал р/гл 102/480 м пр. ОАО ""Рыболовецкий колхоз ""Новый Мир"""
922;трал р/гл 1024 м импортный
390;трал р/гл 103/88 м пр.213 ФОЛ НБАМР
320;трал р/гл 104/528 м пр.288 КЭБ
386;"трал р/гл 104/576 м пр. ЗАО ""Н ФОЛ"""
603;трал р/гл 104/576 м пр. ЗАО ФОЛ
363;трал р/гл 105/115 м пр.204 ФОЛ НБАМР
85;трал р/гл 105/576 м пр.160 КЭБ
565;"трал р/гл 107/1051 м пр. ОАО ""Рыболовецкий колхоз ""Новый Мир"""
564;"трал р/гл 107/460 м пр. ОАО ""Рыболовецкий колхоз ""Новый Мир"""
51;трал р/гл 108/528 м пр. ДВФ НПО
9;трал р/гл 108/528 м пр.1.05 КЭБ
319;трал р/гл 111/876 м пр.КЭБ
316;трал р/гл 112/784 м пр.279 КЭБ
328;трал р/гл 112/786 м пр.279 КЭБ
373;трал р/гл 114.7/217.5 м пр. Авача-Трал
364;трал р/гл 116/640 м пр. 180 ФОЛ НБАМР
3;трал р/гл 118/620 м пр,009 ОД БАМР
324;трал р/гл 119/450 м пр.3 19-4.18 ДБФ НПО
81;трал р/гл 119/450 м пр.4.18 ДВФ
113;трал р/гл 119/620 м пр.ЦПКТБ ЗАПРЫБЫ
94;трал р/гл 120/680 м пр. 033 ОД БАМП
502;трал р/гл 122/1248 м пр. ФОЛ НБАМР
2;трал р/гл 123/640 м пр,120 КЭБ
365;трал р/гл 124/720 м пр.187 ФОЛ НБАМР
366;трал р/гл 126/800 м пр.091 ФОЛ НБАМР
604;трал р/гл 126/880 м ЗАО НФОЛ
375;"трал р/гл 128/128 м пр. ЗАО ""НФОЛ"""
361;трал р/гл 128/256 м пр. Авача-Трал
100;трал р/гл 130/810 м пр.06200.000 ОД БАМР канатный
506;"трал р/гл 132/640 м пр. ООО ""Поллукс"""
395;трал р/гл 133/230 м пр.214 ФОЛ НБАМР
933;"трал р/гл 135/1040 м пр. 130/3500""Раптор(R)-1040"" FS12Dn c a60УELP"
4;трал р/гл 138/900 м, пр,1.03 ДВФ
380;трал р/гл 140/690 м пр. ФОЛ НБАМР
367;трал р/гл 140/690 м пр.201 ФОЛ НБАМР
95;трал р/гл 143/448 м пр.053 ОД БАМП
117;трал р/гл 143/448 м пр.154 КЭБ
6;трал р/гл 143/448 м. пр.003 ОД БОР КРП
527;"трал р/гл 150/588 м ООО ""Морское снабжение"" п. Девятый Вал Приморского края"
102;трал р/гл 154/1120 м пр.342 ЭКБ
119;трал р/гл 156/832 м пр.136 КЭБ
48;трал р/гл 158/880 м пр.ОД КРП
605;"трал р/гл 159.4/268.8 м пр. ООО ""Авача-трал"""
1;трал р/гл 162/920 м пр.1.13 ДВФ НПО
526;трал р/гл 163/506 м Egersund Tral AS Норвегия
83;трал р/гл 166/800 м пр.145 КЭБ
520;"трал р/гл 172/448 м пр. 087 ЗАО ""НФОЛ"""
525;трал р/гл 198/612 м Egersund Tral AS Норвегия
97;трал р/гл 215/840 м пр. КЗ им. В.И. Ленина
523;трал р/гл 239/718 м Egersund Tral AS Норвегия
347;трал р/гл 24/137.6 м иностранный
524;трал р/гл 247/734 м Egersund Tral AS Норвегия
993;"трал р/гл 252/-м пр.""ГЛОРИЯ"" 928 Hampidijan"
992;"трал р/гл 268/-м пр.""ГЛОРИЯ"" 944 Hampidijan"
392;трал р/гл 27,5/42,8 м пр.СОРКС
